iter	Passed	Remaining
0	0	93
1	1	82
2	2	78
3	3	72
4	3	70
5	4	69
6	5	67
7	5	67
8	6	66
9	7	65
10	7	64
11	8	63
12	9	62
13	10	62
14	10	61
15	11	60
16	12	60
17	13	59
18	13	59
19	14	58
20	15	58
21	16	58
22	17	58
23	18	57
24	19	57
25	19	56
26	20	55
27	21	54
28	22	54
29	22	53
30	23	52
31	24	51
32	25	51
33	25	50
34	26	49
35	27	48
36	28	48
37	29	47
38	30	47
39	30	46
40	31	45
41	31	44
42	32	43
43	33	42
44	34	41
45	34	41
46	35	40
47	36	39
48	37	38
49	37	37
50	38	37
51	39	36
52	40	35
53	40	34
54	41	33
55	42	33
56	43	32
57	43	31
58	44	31
59	45	30
60	46	29
61	47	28
62	47	28
63	48	27
64	49	26
65	50	25
66	50	25
67	51	24
68	52	23
69	53	22
70	53	21
71	54	21
72	55	20
73	56	19
74	56	18
75	57	18
76	58	17
77	59	16
78	60	16
79	61	15
80	61	14
81	62	13
82	63	13
83	64	12
84	64	11
85	65	10
86	66	9
87	67	9
88	68	8
89	68	7
90	69	6
91	70	6
92	71	5
93	72	4
94	73	3
95	74	3
96	74	2
97	75	1
98	76	0
99	77	0
