iter	Passed	Remaining
0	127	127629
1	128	64235
2	129	43148
3	130	32581
4	131	26237
5	132	21974
6	133	18934
7	134	16656
8	135	14877
9	135	13452
10	136	12280
11	137	11300
12	138	10490
13	139	9803
14	140	9200
15	140	8662
16	141	8184
17	142	7763
18	142	7382
19	143	7043
20	144	6737
21	145	6460
22	146	6203
23	146	5966
24	147	5748
25	148	5547
26	148	5363
27	149	5191
28	150	5030
29	150	4879
30	151	4741
31	152	4617
32	153	4503
33	154	4388
34	155	4279
35	155	4175
36	156	4078
37	157	3985
38	158	3897
39	158	3812
40	159	3731
41	160	3655
42	161	3583
43	161	3514
44	162	3447
45	163	3384
46	163	3324
47	164	3266
48	165	3213
49	166	3165
50	167	3118
51	168	3075
52	169	3033
53	170	2989
54	171	2943
55	172	2900
56	172	2859
57	173	2821
58	174	2785
59	175	2747
60	176	2712
61	176	2676
62	177	2642
63	178	2608
64	179	2579
65	180	2550
66	181	2523
67	182	2496
68	183	2471
69	183	2444
70	184	2417
71	185	2390
72	186	2365
73	187	2343
74	188	2324
75	189	2301
76	190	2279
77	190	2256
78	191	2233
79	192	2210
80	192	2188
81	193	2167
82	193	2142
83	194	2122
84	195	2105
85	196	2089
86	197	2072
87	198	2054
88	199	2037
89	199	2019
90	200	2002
91	201	1984
92	202	1970
93	202	1955
94	203	1939
95	204	1924
96	205	1908
97	205	1893
98	206	1877
99	207	1863
100	207	1848
101	208	1834
102	209	1822
103	210	1812
104	211	1801
105	212	1789
106	213	1778
107	213	1767
108	214	1755
109	215	1745
110	216	1733
111	217	1722
112	217	1710
113	218	1699
114	219	1687
115	220	1676
116	220	1664
117	221	1653
118	221	1643
119	222	1633
120	223	1623
121	224	1614
122	225	1606
123	226	1599
124	227	1592
125	228	1587
126	229	1577
127	230	1569
128	231	1560
129	231	1551
130	232	1542
131	233	1533
132	233	1524
133	234	1515
134	235	1507
135	235	1498
136	236	1490
137	237	1483
138	238	1476
139	239	1469
140	240	1464
141	241	1458
142	242	1451
143	243	1444
144	244	1440
145	245	1435
146	246	1429
147	247	1424
148	248	1418
149	249	1412
150	249	1405
151	250	1398
152	251	1391
153	252	1384
154	252	1377
155	253	1372
156	254	1367
157	255	1362
158	256	1356
159	257	1352
160	258	1346
161	259	1341
162	259	1335
163	260	1329
164	261	1323
165	262	1317
166	262	1311
167	263	1305
168	264	1299
169	264	1293
170	265	1288
171	266	1282
172	267	1277
173	268	1272
174	269	1268
175	270	1264
176	271	1260
177	272	1256
178	273	1253
179	274	1249
180	275	1245
181	276	1240
182	276	1235
183	277	1230
184	278	1225
185	278	1219
186	279	1214
187	280	1209
188	280	1205
189	281	1200
190	282	1196
191	283	1192
192	284	1187
193	285	1184
194	286	1180
195	286	1176
196	287	1172
197	288	1167
198	289	1163
199	289	1159
200	290	1154
201	291	1150
202	291	1145
203	292	1141
204	293	1137
205	293	1132
206	294	1128
207	295	1124
208	295	1120
209	296	1116
210	297	1113
211	298	1110
212	299	1107
213	300	1103
214	301	1099
215	302	1097
216	303	1094
217	304	1091
218	304	1087
219	305	1084
220	306	1081
221	307	1077
222	308	1074
223	309	1071
224	310	1067
225	310	1064
226	311	1062
227	313	1060
228	314	1057
229	315	1054
230	315	1051
231	316	1049
232	317	1046
233	318	1043
234	319	1039
235	320	1036
236	321	1033
237	321	1030
238	322	1027
239	323	1024
240	324	1021
241	325	1019
242	326	1016
243	327	1014
244	328	1012
245	329	1009
246	330	1006
247	330	1003
248	331	1000
249	332	997
250	333	994
251	333	990
252	334	987
253	335	984
254	335	981
255	336	978
256	337	975
257	337	971
258	338	968
259	339	965
260	340	962
261	341	961
262	342	959
263	343	956
264	343	953
265	344	951
266	345	948
267	346	945
268	346	942
269	347	939
270	348	936
271	348	933
272	349	930
273	350	927
274	350	924
275	351	922
276	352	919
277	352	916
278	353	913
279	354	911
280	355	909
281	356	907
282	357	906
283	358	903
284	359	901
285	360	899
286	361	897
287	362	895
288	362	892
289	363	890
290	364	887
291	364	884
292	365	882
293	366	879
294	367	877
295	367	874
296	368	871
297	369	869
298	370	867
299	371	866
300	372	864
301	373	862
302	373	859
303	374	857
304	375	854
305	376	852
306	376	850
307	377	848
308	378	846
309	379	843
310	379	841
311	380	839
312	381	836
313	382	834
314	382	832
315	383	830
316	384	828
317	385	827
318	386	825
319	387	823
320	388	821
321	389	819
322	390	817
323	390	815
324	391	812
325	392	810
326	392	808
327	393	806
328	394	804
329	394	801
330	395	799
331	396	797
332	396	795
333	397	792
334	398	790
335	399	789
336	400	787
337	401	786
338	402	784
339	402	782
340	403	780
341	404	778
342	405	775
343	405	773
344	406	771
345	407	769
346	407	767
347	408	765
348	409	763
349	409	761
350	410	759
351	411	757
352	411	754
353	412	753
354	413	751
355	414	750
356	415	748
357	416	746
358	417	744
359	418	743
360	418	741
361	419	739
362	420	738
363	421	736
364	422	734
365	422	732
366	423	730
367	424	728
368	424	726
369	425	724
370	426	722
371	427	720
372	428	719
373	429	718
374	430	717
375	431	715
376	432	714
377	433	712
378	433	711
379	434	709
380	435	707
381	436	705
382	436	703
383	437	701
384	438	699
385	438	698
386	439	696
387	440	694
388	440	692
389	441	691
390	442	689
391	443	688
392	444	686
393	445	685
394	446	683
395	447	681
396	447	680
397	448	679
398	449	677
399	450	676
400	451	674
401	452	672
402	453	671
403	453	669
404	454	667
405	455	665
406	455	664
407	456	662
408	457	661
409	459	660
410	460	659
411	460	657
412	461	656
413	462	654
414	463	653
415	464	652
416	465	650
417	466	649
418	467	648
419	468	646
420	469	645
421	470	643
422	470	642
423	471	641
424	472	639
425	473	638
426	474	637
427	475	635
428	476	634
429	477	633
430	478	631
431	479	630
432	479	628
433	480	626
434	481	625
435	482	624
436	483	622
437	484	621
438	485	619
439	485	618
440	486	617
441	487	615
442	488	614
443	489	612
444	490	611
445	490	609
446	491	608
447	492	606
448	493	605
449	493	603
450	494	602
451	495	600
452	496	599
453	497	598
454	498	597
455	499	595
456	500	594
457	501	593
458	502	592
459	503	591
460	504	589
461	505	588
462	506	587
463	507	586
464	508	585
465	509	583
466	510	582
467	511	581
468	512	580
469	513	578
470	514	577
471	515	576
472	516	574
473	517	573
474	518	572
475	519	571
476	520	570
477	520	568
478	521	567
479	522	566
480	523	565
481	524	564
482	525	562
483	526	561
484	527	560
485	528	558
486	529	557
487	530	556
488	531	555
489	532	554
490	533	553
491	534	551
492	535	550
493	536	549
494	536	547
495	537	546
496	538	545
497	539	543
498	539	542
499	540	540
500	541	539
501	542	537
502	542	536
503	543	535
504	544	534
505	545	533
506	546	531
507	547	530
508	548	529
509	549	528
510	550	526
511	551	525
512	552	524
513	553	522
514	553	521
515	554	520
516	555	518
517	556	517
518	557	516
519	557	515
520	558	513
521	559	512
522	560	511
523	561	509
524	562	508
525	562	507
526	563	505
527	564	504
528	565	503
529	565	501
530	566	500
531	567	499
532	568	498
533	569	496
534	570	495
535	570	494
536	571	492
537	572	491
538	573	490
539	574	489
540	575	488
541	575	486
542	576	485
543	577	484
544	578	482
545	579	481
546	579	480
547	580	479
548	581	477
549	582	476
550	583	475
551	583	473
552	584	472
553	585	471
554	586	470
555	587	469
556	588	468
557	589	466
558	590	465
559	591	464
560	592	463
561	593	462
562	594	461
563	594	459
564	595	458
565	596	457
566	597	455
567	597	454
568	598	453
569	599	452
570	599	450
571	600	449
572	601	448
573	602	447
574	603	446
575	604	444
576	605	443
577	606	442
578	606	441
579	607	440
580	608	438
581	609	437
582	610	436
583	610	435
584	611	433
585	612	432
586	613	431
587	614	430
588	614	429
589	615	427
590	616	426
591	617	425
592	618	424
593	619	423
594	620	422
595	621	421
596	622	420
597	623	418
598	623	417
599	624	416
600	625	415
601	626	414
602	627	412
603	628	411
604	628	410
605	629	409
606	630	408
607	631	406
608	632	405
609	633	404
610	634	403
611	635	402
612	636	401
613	637	400
614	638	399
615	638	398
616	639	396
617	640	395
618	640	394
619	641	393
620	642	392
621	643	390
622	643	389
623	644	388
624	645	387
625	645	385
626	646	384
627	647	383
628	648	382
629	649	381
630	650	380
631	651	379
632	651	377
633	652	376
634	653	375
635	654	374
636	655	373
637	655	372
638	656	371
639	657	370
640	658	368
641	659	368
642	660	366
643	662	366
644	662	364
645	663	363
646	664	362
647	665	361
648	666	360
649	666	359
650	667	357
651	668	356
652	669	355
653	669	354
654	670	353
655	671	352
656	672	350
657	672	349
658	673	348
659	674	347
660	675	346
661	676	345
662	677	344
663	678	343
664	679	342
665	680	341
666	681	340
667	682	339
668	683	338
669	684	337
670	685	336
671	686	334
672	687	333
673	688	332
674	689	331
675	690	331
676	691	330
677	692	329
678	693	327
679	694	326
680	695	325
681	696	324
682	697	323
683	698	322
684	699	321
685	700	320
686	701	319
687	703	318
688	704	317
689	705	316
690	706	315
691	707	314
692	708	313
693	709	312
694	709	311
695	710	310
696	711	309
697	712	308
698	713	307
699	714	306
700	715	305
701	716	304
702	717	303
703	718	302
704	719	301
705	720	300
706	722	299
707	723	298
708	724	297
709	725	296
710	726	295
711	727	294
712	728	293
713	729	292
714	730	291
715	731	290
716	732	289
717	734	288
718	735	287
719	735	286
720	736	285
721	737	283
722	738	282
723	739	281
724	740	280
725	740	279
726	741	278
727	742	277
728	743	276
729	744	275
730	745	274
731	745	273
732	746	271
733	747	270
734	748	269
735	749	268
736	750	267
737	751	266
738	752	265
739	753	264
740	754	263
741	754	262
742	755	261
743	756	260
744	757	259
745	758	258
746	759	257
747	759	256
748	760	254
749	761	253
750	762	252
751	763	251
752	764	250
753	765	249
754	766	248
755	767	247
756	767	246
757	768	245
758	769	244
759	770	243
760	771	242
761	772	241
762	772	240
763	773	238
764	774	237
765	774	236
766	775	235
767	776	234
768	778	233
769	778	232
770	779	231
771	780	230
772	781	229
773	781	228
774	782	227
775	783	226
776	784	225
777	785	224
778	786	223
779	787	221
780	787	220
781	788	219
782	789	218
783	790	217
784	790	216
